match_id,inning,batting_team,bowling_team,over,season,who_is_batting_first,total_runs,is_wicket
335988,1,Sunrisers Hyderabad,Delhi Capitals,11,2007/08,Sunrisers Hyderabad,6,0
335988,1,Sunrisers Hyderabad,Delhi Capitals,12,2007/08,Sunrisers Hyderabad,2,1
335988,1,Sunrisers Hyderabad,Delhi Capitals,13,2007/08,Sunrisers Hyderabad,6,0
335988,1,Sunrisers Hyderabad,Delhi Capitals,14,2007/08,Sunrisers Hyderabad,5,0
335988,1,Sunrisers Hyderabad,Delhi Capitals,15,2007/08,Sunrisers Hyderabad,9,0
335988,1,Sunrisers Hyderabad,Delhi Capitals,16,2007/08,Sunrisers Hyderabad,8,1
335988,1,Sunrisers Hyderabad,Delhi Capitals,17,2007/08,Sunrisers Hyderabad,26,0
335988,1,Sunrisers Hyderabad,Delhi Capitals,18,2007/08,Sunrisers Hyderabad,12,1
335988,1,Sunrisers Hyderabad,Delhi Capitals,19,2007/08,Sunrisers Hyderabad,14,1
335988,2,Delhi Capitals,Sunrisers Hyderabad,0,2007/08,Sunrisers Hyderabad,4,0
335988,2,Delhi Capitals,Sunrisers Hyderabad,1,2007/08,Sunrisers Hyderabad,14,0
335988,2,Delhi Capitals,Sunrisers Hyderabad,2,2007/08,Sunrisers Hyderabad,12,0
335988,2,Delhi Capitals,Sunrisers Hyderabad,3,2007/08,Sunrisers Hyderabad,2,1
335988,2,Delhi Capitals,Sunrisers Hyderabad,4,2007/08,Sunrisers Hyderabad,5,0
335988,2,Delhi Capitals,Sunrisers Hyderabad,5,2007/08,Sunrisers Hyderabad,11,0
335988,2,Delhi Capitals,Sunrisers Hyderabad,6,2007/08,Sunrisers Hyderabad,7,0
335988,2,Delhi Capitals,Sunrisers Hyderabad,7,2007/08,Sunrisers Hyderabad,5,0
335988,2,Delhi Capitals,Sunrisers Hyderabad,8,2007/08,Sunrisers Hyderabad,23,0
335988,2,Delhi Capitals,Sunrisers Hyderabad,9,2007/08,Sunrisers Hyderabad,12,0
335988,2,Delhi Capitals,Sunrisers Hyderabad,10,2007/08,Sunrisers Hyderabad,5,0
335988,2,Delhi Capitals,Sunrisers Hyderabad,11,2007/08,Sunrisers Hyderabad,12,0
335988,2,Delhi Capitals,Sunrisers Hyderabad,12,2007/08,Sunrisers Hyderabad,30,0
335988,2,Delhi Capitals,Sunrisers Hyderabad,13,2007/08,Sunrisers Hyderabad,1,0
335989,1,Chennai Super Kings,Mumbai Indians,0,2007/08,Chennai Super Kings,7,0
335989,1,Chennai Super Kings,Mumbai Indians,1,2007/08,Chennai Super Kings,9,0
335989,1,Chennai Super Kings,Mumbai Indians,2,2007/08,Chennai Super Kings,18,0
335989,1,Chennai Super Kings,Mumbai Indians,3,2007/08,Chennai Super Kings,1,1
335989,1,Chennai Super Kings,Mumbai Indians,4,2007/08,Chennai Super Kings,5,1
335989,1,Chennai Super Kings,Mumbai Indians,5,2007/08,Chennai Super Kings,13,0
335989,1,Chennai Super Kings,Mumbai Indians,6,2007/08,Chennai Super Kings,6,0
335989,1,Chennai Super Kings,Mumbai Indians,7,2007/08,Chennai Super Kings,5,0
335989,1,Chennai Super Kings,Mumbai Indians,8,2007/08,Chennai Super Kings,8,0
335989,1,Chennai Super Kings,Mumbai Indians,9,2007/08,Chennai Super Kings,10,0
335989,1,Chennai Super Kings,Mumbai Indians,10,2007/08,Chennai Super Kings,14,0
335989,1,Chennai Super Kings,Mumbai Indians,11,2007/08,Chennai Super Kings,16,0
335989,1,Chennai Super Kings,Mumbai Indians,12,2007/08,Chennai Super Kings,11,0
335989,1,Chennai Super Kings,Mumbai Indians,13,2007/08,Chennai Super Kings,14,0
